"Agency","Component","Fiscal Year","Number of Requests Pending as of Start of Fiscal Year","Number of Requests Received in Fiscal Year","Number of Requests Processed in Fiscal Year","Number of Requests Pending as of End of Fiscal Year"
"Merit Systems Protection Board","Agency Overall","2016","55","206","168","93"
"Federal Reserve System","Agency Overall","2023","52","772","739","85"
"National Railroad Passenger Corporation","Agency Overall","2015","25","257","182","100"
"Federal Financial Institutions Examination Council","Agency Overall","2019","0","11","11","0"
"Department of the Interior","Agency Overall","2016","1057","6428","6437","1048"
"Federal Labor Relations Authority","Agency Overall","2020","9","99","107","1"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2024","15","98","75","38"
"Department of Justice","Agency Overall","2024","51572","132527","157180","26919"
"Federal Mediation and Conciliation Service","Agency Overall","2023","4","46","49","1"
"Securities and Exchange Commission","Agency Overall","2017","565","13063","13069","559"
"Consumer Financial Protection Bureau","Agency Overall","2015","17","318","319","16"
"Surface Transportation Board","Agency Overall","2016","0","35","34","1"
"Commodity Futures Trading Commission","Agency Overall","2023","6","290","291","5"
"Institute of Museum and Library Services","Agency Overall","2017","3","40","36","7"
"American Battle Monuments Commission","Agency Overall","2024","0","38","38","0"
"Commodity Futures Trading Commission","Agency Overall","2018","27","134","121","40"
"Merit Systems Protection Board","Agency Overall","2018","78","173","200","51"
"Armed Forces Retirement Home","Agency Overall","2016","0","15","15","0"
"United States African Development Foundation","Agency Overall","2018","2","6","8","0"
"National Council on Disability","Agency Overall","2021","0","13","13","0"
"Securities and Exchange Commission","Agency Overall","2018","559","14229","14248","540"
"United States Copyright Office","Agency Overall","2021","5","49","47","7"
"Office of National Drug Control Policy","Agency Overall","2017","6","62","51","17"
"Federal Energy Regulatory Commission","Agency Overall","2024","107","130","157","80"
"Surface Transportation Board","Agency Overall","2019","1","33","34","0"
"Department of Homeland Security","Agency Overall","2018","62968","395751","374945","83774"
"Federal Mediation and Conciliation Service","Agency Overall","2017","2","80","56","26"
