"Agency","Component","Fiscal Year","Number of Backlogged Requests as of End of Fiscal Year","Number of Backlogged Appeals as of End of Fiscal Year"
"Merit Systems Protection Board","Agency Overall","2016","69","2"
"Federal Reserve System","Agency Overall","2023","36","3"
"National Railroad Passenger Corporation","Agency Overall","2015","33","4"
"Federal Financial Institutions Examination Council","Agency Overall","2019","0","0"
"Department of the Interior","Agency Overall","2016","677","337"
"Federal Labor Relations Authority","Agency Overall","2020","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2024","30","0"
"Department of Justice","Agency Overall","2024","21567","211"
"Federal Mediation and Conciliation Service","Agency Overall","2023","0","0"
"Securities and Exchange Commission","Agency Overall","2017","73","13"
"Consumer Financial Protection Bureau","Agency Overall","2015","0","0"
"Surface Transportation Board","Agency Overall","2016","0","0"
"Commodity Futures Trading Commission","Agency Overall","2023","4","0"
"Institute of Museum and Library Services","Agency Overall","2017","5","0"
"American Battle Monuments Commission","Agency Overall","2024","0","0"
"Commodity Futures Trading Commission","Agency Overall","2018","33","0"
"Merit Systems Protection Board","Agency Overall","2018","47","3"
"Armed Forces Retirement Home","Agency Overall","2016","0","0"
"United States African Development Foundation","Agency Overall","2018","0","0"
"National Council on Disability","Agency Overall","2021","0","0"
"Securities and Exchange Commission","Agency Overall","2018","112","0"
"United States Copyright Office","Agency Overall","2021","5","0"
"Office of National Drug Control Policy","Agency Overall","2017","9","0"
"Federal Energy Regulatory Commission","Agency Overall","2024","72","1"
"Surface Transportation Board","Agency Overall","2019","0","0"
"Department of Homeland Security","Agency Overall","2018","53971","237"
"Federal Mediation and Conciliation Service","Agency Overall","2017","22","0"
"Central Intelligence Agency","Agency Overall","2017","1757","113"
"Commodity Futures Trading Commission","Agency Overall","2019","8","0"
"Department of Veterans Affairs","Agency Overall","2022","824","202"
"Office of Special Counsel","Agency Overall","2024","60","0"
"Commission of Fine Arts","Agency Overall","2024","0","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2017","6","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2016","0","0"
"Federal Open Market Committee","Agency Overall","2020","0","0"
"United States Copyright Office","Agency Overall","2024","7","0"
"Social Security Advisory Board","Agency Overall","2019","0","0"
"Central Intelligence Agency","Agency Overall","2022","3005","381"
"Consumer Product Safety Commission","Agency Overall","2023","197","0"
"United States African Development Foundation","Agency Overall","2015","0","0"
"Court Services and Offender Supervision Agency","Agency Overall","2016","1","0"
"Commission of Fine Arts","Agency Overall","2022","0","0"
"National Science Foundation","Agency Overall","2022","483","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2019","3","0"
"Office of Management and Budget","Agency Overall","2019","568","4"
"Securities and Exchange Commission","Agency Overall","2016","90","2"
"Federal Financial Institutions Examination Council","Agency Overall","2021","1","0"
"National Credit Union Administration","Agency Overall","2021","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2021","0","0"
"Department of Justice","Agency Overall","2022","64982","321"
"United States Copyright Office","Agency Overall","2016","0","0"
"National Indian Gaming Commission","Agency Overall","2018","9","0"
"Commission of Fine Arts","Agency Overall","2021","0","0"
"Inter-American Foundation","Agency Overall","2015","0","0"
"Federal Maritime Commission","Agency Overall","2022","8","0"
"Office of Government Ethics","Agency Overall","2018","60","0"
"National Commission on Military, National, and Public Service","Agency Overall","2018","1","0"
"General Services Administration","Agency Overall","2020","355","11"
"Environmental Protection Agency","Agency Overall","2019","2272","64"
"Department of Agriculture","Agency Overall","2020","2546","814"
"Pension Benefit Guaranty Corporation","Agency Overall","2020","0","0"
"Federal Energy Regulatory Commission","Agency Overall","2020","21","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2015","0","0"
"Federal Housing Finance Agency","Agency Overall","2019","22","0"
"Commodity Futures Trading Commission","Agency Overall","2020","6","0"
"Consumer Product Safety Commission","Agency Overall","2019","404","1"
"United States African Development Foundation","Agency Overall","2021","0","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2019","0","0"
"Administrative Conference of the United States","Agency Overall","2023","0","0"
"Farm Credit Administration","Agency Overall","2023","0","0"
"Armed Forces Retirement Home","Agency Overall","2020","0","0"
"Advisory Council on Historic Preservation","Agency Overall","2022","1","0"
"Federal Deposit Insurance Corporation","Agency Overall","2015","13","0"
"National Science Foundation","Agency Overall","2015","166","0"
"Environmental Protection Agency","Agency Overall","2016","1284","113"
"Consumer Product Safety Commission","Agency Overall","2021","465","0"
